,Infected_vac,Infected_not_vac,city_sus_above65,city_sus_below65,rural_sus_above65,rural_sus_below65,Resistant_vac,Resistant_nature,Death,Vccinated_state,State_VACC_NO,State_VACC_YES,accumulated_infected_number,Path_No
312,0,0,1,11,0,6,287,636,5,56,0,54,641,3
313,0,0,1,11,0,6,287,636,5,56,0,54,641,3
314,0,0,1,11,0,6,287,636,5,56,0,54,641,3
315,0,0,1,11,0,6,287,636,5,56,0,54,641,3
316,0,0,1,11,0,6,287,636,5,56,0,54,641,3
317,0,0,1,11,0,6,287,636,5,56,0,54,641,3
318,0,0,1,11,0,6,287,636,5,56,0,54,641,3
319,0,0,1,11,0,6,287,636,5,56,0,54,641,3
320,0,0,1,11,0,6,287,636,5,56,0,54,641,3
321,0,0,1,11,0,6,287,636,5,56,0,54,641,3
322,0,0,1,11,0,6,287,636,5,56,0,54,641,3
323,0,0,1,11,0,6,287,636,5,56,0,54,641,3
324,0,0,1,11,0,6,287,636,5,56,0,54,641,3
325,0,0,1,11,0,6,287,636,5,56,0,54,641,3
326,0,0,1,11,0,6,287,636,5,56,0,54,641,3
327,0,0,1,11,0,6,287,636,5,56,0,54,641,3
328,0,0,1,11,0,6,287,636,5,56,0,54,641,3
329,0,0,1,11,0,6,287,636,5,56,0,54,641,3
330,0,0,1,11,0,6,287,636,5,56,0,54,641,3
331,0,0,1,11,0,6,287,636,5,56,0,54,641,3
332,0,0,1,11,0,6,287,636,5,56,0,54,641,3
333,0,0,1,11,0,6,287,636,5,56,0,54,641,3
334,0,0,1,11,0,6,287,636,5,56,0,54,641,3
335,0,0,1,11,0,6,287,636,5,56,0,54,641,3
336,0,0,1,11,0,6,287,636,5,56,0,54,641,3
337,0,0,1,11,0,6,287,636,5,56,0,54,641,3
338,0,0,1,11,0,6,287,636,5,56,0,54,641,3
339,0,0,1,11,0,6,287,636,5,56,0,54,641,3
340,0,0,1,11,0,6,287,636,5,56,0,54,641,3
341,0,0,1,11,0,6,287,636,5,56,0,54,641,3
342,0,0,1,11,0,6,287,636,5,56,0,54,641,3
343,0,0,1,11,0,6,287,636,5,56,0,54,641,3
344,0,0,1,11,0,6,287,636,5,56,0,54,641,3
345,0,0,1,11,0,6,287,636,5,56,0,54,641,3
346,0,0,1,11,0,6,287,636,5,56,0,54,641,3
347,0,0,1,11,0,6,287,636,5,56,0,54,641,3
